;
; WIN30.DAT -- Windows 3.0 functions
; for use with Windows Source
; Copyright (c) 1992-1996 V Communications Inc.  All rights reserved.
;
; KRNL386.EXE
; "Microsoft Windows Kernel Interface Version 3.00"
;
USER . 236	GetCapture
USER . 237	GetUpdateRgn
USER . 238	ExcludeUpdateRgn
USER . 239	DialogBoxParam
USER . 240	DialogBoxIndirectParam
USER . 241	CreateDialogParam
USER . 242	CreateDialogIndirectParam
USER . 243	GetDialogBaseUnits
USER . 244	EqualRect
USER . 249	GetAsyncKeyState
USER . 250	GetMenuState
USER . 259	BeginDeferWindowPos
USER . 260	DeferWindowPos
USER . 261	EndDeferWindowPos
USER . 262	GetWindow
USER . 263	GetMenuItemCount
USER . 264	GetMenuItemID
USER . 265	ShowOwnedPopups
USER . 266	SetMessageQueue
USER . 267	ShowScrollBar
USER . 268	GlobalAddAtom
USER . 269	GlobalDeleteAtom
USER . 270	GlobalFindAtom
USER . 271	GlobalGetAtomName
USER . 272	IsZoomed
USER . 273	CONTROLPANELINFO
USER . 274	GETNEXTQUEUEWINDOW
USER . 275	REPAINTSCREEN
USER . 276	LOCKMYTASK
USER . 277	GetDlgCtrlID
USER . 278	GetDesktopHwnd
USER . 279	SETDESKPATTERN
USER . 280	SETSYSTEMMENU
USER . 281	SNAPWINDOW
USER . 282	SelectPalette
USER . 283	RealizePalette
USER . 284	SETGRIDGRANULARITY
USER . 285	SETDESKWALLPAPER
USER . 286	GetDesktopWindow
USER . 287	GetLastActivePopup
USER . 301	EDITWNDPROC
USER . 302	STATICWNDPROC
USER . 303	BUTTONWNDPROC
USER . 304	SBWNDPROC
USER . 305	DESKTOPWNDPROC
USER . 306	MENUWNDPROC
USER . 307	LBOXCTLWNDPROC
USER . 308	DefDlgProc
USER . 310	CONTSCROLL
USER . 311	CARETBLINKPROC
USER . 312	SENDMESSAGE2
USER . 313	POSTMESSAGE2
USER . 314	SIGNALPROC
USER . 315	XCSTODS
USER . 316	COMPUPDATERECT
USER . 317	COMPUPDATERGN
USER . 318	GETWC2
USER . 319	SETWC2
USER . 320	SYSERRORBOX
USER . 321	SETEVENTHOOK
USER . 322	WINOLDAPPHACKOMATIC
USER . 323	GETMESSAGE2
USER . 324	FILLWINDOW
USER . 325	PAINTRECT
USER . 326	GETCONTROLBRUSH
USER . 327	KILLTIMER2
USER . 328	SETTIMER2
USER . 329	MENUITEMSTATE
USER . 330	SETGETKBDSTATE
USER . 331	EnableHardwareInput
USER . 332	USERYIELD
USER . 333	ISUSERIDLE
USER . 334	GETQUEUESTATUS
USER . 335	GetInputState
USER . 336	LOADCURSORICONHANDLER
USER . 337	GETMOUSEEVENTPROC
USER . 340	WINFARFRAME
USER . 341	_FFFE_FARFRAME
USER . 343	GETFILEPORTNAME
USER . 344	COMBOBOXCTLWNDPROC
USER . 345	TITLEWNDPROC
USER . 346	FILEPORTDLGPROC
USER . 347	SWITCHWNDPROC
USER . 354	TABTHETEXTOUTFORWIMPS
USER . 355	BROADCASTMESSAGE
USER . 356	LOADDIBCURSORHANDLER
USER . 357	LOADDIBICONHANDLER
USER . 400	FINALUSERINIT
USER . 402	GetPriorityClipboardFormat
USER . 403	UnregisterClass
USER . 404	GetClassInfo
USER . 406	CreateCursor
USER . 407	CreateIcon
USER . 408	CREATECURSORICONINDIRECT
USER . 409	MB_DLGPROC
USER . 410	InsertMenu
USER . 411	AppendMenu
USER . 412	RemoveMenu
USER . 413	DeleteMenu
USER . 414	ModifyMenu
USER . 415	CreatePopupMenu
USER . 416	TrackPopupMenu
USER . 417	GetMenuCheckMarkDimensions
USER . 418	SetMenuItemBitmaps
USER . 420	_WSPRINTF
USER . 421	wvsprintf
USER . 430	lstrcmp
USER . 431	AnsiUpper
USER . 432	AnsiLower
USER . 433	IsCharAlpha
USER . 434	IsCharAlphaNumeric
USER . 435	IsCharUpper
USER . 436	IsCharLower
USER . 437	AnsiUpperBuff
USER . 438	AnsiLowerBuff
USER . 444	MDICLIENTWNDPROC
USER . 445	DefFrameProc
USER . 447	DefMDIChildProc
USER . 451	TranslateMDISysAccel
USER . 452	CreateWindowEx
USER . 453	LBOXCARETBLINKER
USER . 454	AdjustWindowRectEx
USER . 455	GETICONID
USER . 456	LOADICONHANDLER
USER . 457	DestroyIcon
USER . 458	DestroyCursor
USER . 459	DUMPICON
USER . 460	GETINTERNALWINDOWPOS
USER . 461	SETINTERNALWINDOWPOS
USER . 462	CALCCHILDSCROLL
USER . 463	SCROLLCHILDREN
USER . 464	DRAGOBJECT
USER . 465	DRAGDETECT
USER . 466	DrawFocusRect
USER . 470	STRINGFUNC
USER . 471	lstrcmpi
USER . 472	AnsiNext
USER . 473	AnsiPrev
USER . 500	FARCALLNETDRIVER
USER . 501	WNetOpenJob
USER . 502	WNetCloseJob
USER . 504	WNetHoldJob
USER . 505	WNetReleaseJob
USER . 506	WNetCancelJob
USER . 507	WNetSetJobCopies
USER . 508	WNetWatchQueue
USER . 509	WNetUnwatchQueue
USER . 510	WNetLockQueueData
USER . 511	WNetUnlockQueueData
USER . 512	WNetGetConnection
USER . 513	WNetGetCaps
USER . 514	WNetDeviceMode
USER . 515	WNetBrowseDialog
USER . 516	WNetGetUser
USER . 517	WNetAddConnection
USER . 518	WNetCancelConnection
USER . 519	WNetGetError
USER . 520	WNetGetErrorText
;
; COMM.DRV
; "Windows Communications Driver"
;
COMM . 1	INICOM
COMM . 2	SETCOM
COMM . 3	SETQUE
COMM . 4	RECCOM
COMM . 5	SNDCOM
COMM . 6	CTX
COMM . 7	TRMCOM
COMM . 8	STACOM
COMM . 9	CEXTFCN
COMM . 10	CFLUSH
COMM . 11	CEVT
COMM . 12	CEVTGET
COMM . 13	CSETBRK
COMM . 14	CCLRBRK
COMM . 15	GETDCB
COMM . 16	WEP
COMM . 17	SUSPENDOPENCOMMPORTS
COMM . 18	REACTIVATEOPENCOMMPORTS
;
; KEYBOARD.DRV
; "KEYBOARD (Enhanced keyboard):"
;
KEYBOARD . 1	INQUIRE
KEYBOARD . 2	Enable
KEYBOARD . 3	Disable
KEYBOARD . 4	ToAscii
KEYBOARD . 5	AnsiToOem
KEYBOARD . 6	OemToAnsi
KEYBOARD . 7	SETSPEED
